AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-90.4300795561,-82.7433439059,166.7985727903117,0.0931681488829,0.0,0.467920470403,-125.469229525,1.59667041508,104,24.5953423898,0.748187125442,-224.258080306,-0.0931681488829,55,0.386347497156,-8.18395377373e-16,0.0064133945583
-89.892726966,-84.6774071492,164.5650675593098,0.111974001442,0.0,0.44391002508,-124.012365725,1.55879022729,104,22.4623791445,0.755175430898,-218.272383204,-0.111974001442,56,0.37718160067,3.95862467865e-16,0.00723167957558
-92.6935396481,-89.483210756,168.971675915529,0.0980513750807,0.0,0.43528216956,-129.532166156,1.54539906201,104,23.9277824986,0.768716259505,-218.495363162,-0.0980513750807,57,0.373941330705,8.83557819608e-16,0.00813109269932
-91.6639252083,-85.436371231,167.3344402612953,0.462012043277,0.0,0.457712472477,-127.397182863,1.58045451355,104,21.2649218824,0.793423668252,-203.107228273,-0.462012043277,58,0.382423723714,-9.0979246289e-16,0.00688106604543
-94.1145682881,-82.4686374144,170.8849587573664,0.002158923475,0.0,0.471340486963,-132.608747912,1.60214040274,104,28.6722509735,0.725022116711,-231.003325909,-0.002158923475,59,0.387671074031,9.8040173615e-16,0.00926381745274
-92.9394125184,-84.4268673523,169.7108651603624,0.0192955033368,0.0,0.462472552271,-130.518698219,1.58799553685,104,30.8599658172,0.71929601346,-232.601677125,-0.0192955033368,60,0.384248430584,8.00674527369e-16,0.00720534672076
-90.2952677336,-86.5648746442,167.2272677788422,0.0677069637759,0.0,0.432420902228,-125.381019898,1.5409835821,104,22.7486752225,0.756744901379,-226.310217546,-0.0677069637759,61,0.372872913834,-4.09006298736e-16,0.00479142310938
-91.0795321938,-85.7578434225,168.1406025839656,0.114802282141,0.0,0.438897236475,-126.309839186,1.55099589339,104,25.1097322404,0.753836280745,-222.509910502,-0.114802282141,62,0.37529560005,6.77741890191e-16,0.00748328390297
-90.6281909507,-83.6272434159,168.66786736831233,0.250033916991,0.0,0.411895577881,-125.778940009,1.50967678445,104,22.5476779753,0.772568963469,-229.035651694,-0.250033916991,63,0.365297585323,-1.14539317312e-16,0.0063448606566
-88.872361581,-84.6752401169,165.0498820033104,0.0806978904574,0.0,0.423325275528,-122.263879359,1.52703092098,104,25.3431452243,0.741988493053,-241.125237884,-0.0806978904574,64,0.369496778313,-9.7418967321e-16,0.00417997949582
-91.0132937356,-86.326533702,169.35349562542072,0.119169930528,0.0,0.399870195283,-126.562647228,1.49163106433,104,22.9888239419,0.755172735909,-221.42781111,-0.119169930528,65,0.36093104935,6.06688129077e-16,0.00784664411322
-91.7120093884,-82.7213529283,169.41865387827735,0.0909101709176,0.0,0.410060902536,-127.555394729,1.50690955693,104,26.1230115817,0.740916967396,-232.496068478,-0.0909101709176,66,0.364627997276,-8.2111119883e-16,0.00416640330528
