MinReturn,Total cost,StdReturn,LossBefore,Iteration,ExplainedVariance,Perplexity,AverageReturn,NumTrajs,AverageDiscountedReturn,MaxReturn,Entropy,LossAfter,MeanKL,dLoss,MeanKLBefore,AveragePolicyStd
-258.894255603,189.82461031304902,27.9181077413,-4.45046222097e-11,54,0.798942044718,3.57385377892,-171.056747453,204,-116.26051828,-114.317707993,1.27364450345,-1125.98545575,0.00967688465064,1125.98545575,0.0,0.864767988211
-267.363269313,195.81301566424892,30.4360328691,-3.53463924796e-11,55,0.796320514109,3.56100597193,-175.807440369,204,-118.683668026,-116.995288823,1.27004308133,-998.337562972,0.00908310597558,998.337562972,0.0,0.861659195045
-266.587398172,188.08998196223715,32.8459075535,4.45278258709e-11,56,0.74334482607,3.46176305998,-164.064904522,204,-112.689925064,-110.967239934,1.2417780142,-725.336160814,0.00633849858227,725.336160814,0.0,0.837645315737
-230.366421875,187.10270588747102,26.2533035726,-5.13749043307e-11,57,0.798066126583,3.42964012064,-164.148632386,204,-112.573327272,-114.146432171,1.23245533458,-932.352451876,0.00650029324285,932.352451876,0.0,0.829872504832
-243.661727762,179.05361533425508,26.3860811647,1.02064356966e-10,58,0.790763948712,3.39074628619,-154.456759514,204,-106.986925376,-103.811189657,1.22105004058,-928.606773788,0.00736303875113,928.606773788,0.0,0.820461335531
-223.484841251,183.57641887289606,28.6178099495,9.71622782231e-12,59,0.774075919056,3.39313671786,-160.013194531,204,-108.863180004,-95.1262833979,1.22175477908,-750.75382316,0.0065506201776,750.75382316,0.0,0.821039750014
-228.44281605,183.33612042003978,29.339476855,-8.95195029216e-11,60,0.773393663024,3.36744916969,-159.166475659,204,-108.944729189,-98.0633937064,1.21415553481,-855.689464013,0.00636806713082,855.689464013,0.0,0.81482411537
-244.341983708,179.77345224134646,25.4234475287,-3.49649198483e-11,61,0.789598509933,3.38609313219,-154.340751301,204,-106.946788541,-102.791857103,1.21967678841,-983.27110834,0.00792213506703,983.27110834,0.0,0.819335408485
-247.352678763,186.76870690936423,29.4561889724,-2.56581422775e-11,62,0.775587950289,3.32568714999,-160.462384897,204,-111.232016127,-100.45012181,1.20167631441,-850.409516795,0.00720424857682,850.409516795,0.0,0.804718929208
-238.021354523,187.11862608330415,27.0527283733,1.16691545315e-10,63,0.789450229978,3.31094289415,-160.312227104,204,-110.778204213,-96.5122242495,1.1972330111,-969.900876199,0.00760890211472,969.900876199,0.0,0.801151250939
-251.636324484,185.42223779495,25.3622564235,5.75872682873e-12,64,0.808212267458,3.30228252022,-156.181407357,204,-108.94286642,-101.230239873,1.19461390217,-797.532632475,0.00640742875399,797.532632475,0.0,0.799055693984
-214.560961212,181.25430279981188,24.8069143605,-9.19802012334e-11,65,0.786329873214,3.28665402412,-149.574217214,204,-104.252823984,-92.3935322165,1.18987003332,-861.534953417,0.00651592853762,861.534953417,0.0,0.795274055461
-247.831340202,184.09932734825455,26.2833873737,-2.03850269997e-11,66,0.789990301915,3.28616801663,-153.716137523,204,-107.319355527,-95.4968636179,1.18972214936,-949.043998154,0.00721500096468,949.043998154,0.0,0.795156455876
-221.887941445,183.44694421996041,26.9077452916,-1.1230816277e-10,67,0.788022891435,3.29378611812,-152.226214991,204,-106.429386122,-94.7678036728,1.1920376989,-1083.89999153,0.00971518510694,1083.89999153,0.0,0.796999813412
-258.233635191,194.26005103826085,30.0759513057,-5.93711746433e-11,68,0.781766941849,3.24982766142,-160.944268359,204,-111.5331612,-105.413127831,1.17860196768,-1000.97825472,0.00911852376757,1000.97825472,0.0,0.786363153796
-245.258483379,188.71860750065548,29.6349259403,-1.13400400181e-11,69,0.791198740963,3.28458962171,-158.039192582,204,-109.728222242,-97.9728211545,1.18924171924,-1021.6228055,0.00877136217164,1021.6228055,0.0,0.794774530514
-262.212125581,182.96102784093193,31.0656327283,-1.62698743367e-10,70,0.713809942131,3.25540495737,-151.755672187,204,-105.076257702,-89.2234445702,1.18031667879,-1096.86024257,0.00928913755737,1096.86024257,0.0,0.787712696137
-227.326796347,178.39962370492728,24.5897793618,-3.82438525293e-11,71,0.786294078592,3.25302302445,-148.019804269,204,-103.450241228,-100.028586161,1.17958472538,-1115.14866646,0.00757133261361,1115.14866646,0.0,0.787136338103
-251.473495168,178.9052012007144,29.1546551038,4.74383865523e-11,72,0.750329190994,3.23888234408,-149.328591612,204,-103.813131892,-96.9491500642,1.17522831476,-889.694177523,0.00747637341379,889.694177523,0.0,0.78371470743
-238.81298993,180.52250699229822,29.3775189837,-1.01259001184e-11,73,0.756664822986,3.19630154327,-153.171457175,204,-105.534257191,-94.7810340627,1.16199437366,-959.359097168,0.00681050864277,959.359097168,0.0,0.773411400206
-230.120484454,179.10150681203157,27.4702492459,6.54155618562e-11,74,0.783034479328,3.1634195375,-153.919199313,204,-106.451687654,-93.9474897211,1.15165357464,-950.81434387,0.00680759375121,950.81434387,0.0,0.765454917447
-220.743587339,178.15934356790828,28.1422192178,5.95815619064e-11,75,0.766613181559,3.15627286583,-150.333406395,204,-104.20660349,-93.7666281503,1.14939185863,-804.908666762,0.00633524110559,804.908666762,0.0,0.763725632124
-237.133555864,181.03116184154908,27.8303529565,-6.23701090774e-12,76,0.76951604572,3.20363539489,-154.682019265,204,-106.721349102,-101.86039659,1.16428622588,-1142.45393946,0.00948105912821,1142.45393946,0.0,0.775185977596
-241.533885628,185.08964402788854,28.149882155,5.0388360151e-11,77,0.786645893694,3.19581171258,-158.736989537,204,-109.25870513,-108.331007179,1.16184111271,-892.944190342,0.00694199174738,892.944190342,0.0,0.773292875519
-230.113775421,181.61637777909817,28.0794609932,4.91521268131e-11,78,0.778745763681,3.14317312165,-154.425842249,204,-106.15927793,-90.2474787934,1.14523283796,-883.187826351,0.00721540210632,883.187826351,0.0,0.760555877535
-243.032910493,185.63711280973087,29.2050144568,3.01078051379e-11,79,0.778782182726,3.13178337064,-157.961206664,204,-107.909256883,-104.276858327,1.14160260927,-849.911235617,0.00710472027781,849.911235617,0.0,0.75779989123
-235.495365128,179.38646904817205,25.7747812995,-3.32558425242e-11,80,0.790712071983,3.08583342634,-151.239444039,204,-104.690887627,-96.7443895868,1.12682177528,-1233.63605644,0.00933938658546,1233.63605644,0.0,0.746681349918
-223.813747497,176.6299476790267,23.6425459003,-7.46236406002e-11,81,0.80520631825,3.11889302417,-148.553361142,204,-103.129972324,-96.6976194668,1.13747813892,-1401.05550491,0.00952304459268,1401.05550491,0.0,0.754680804757
-236.327399568,184.62860435406773,33.1792519726,-1.42035105899e-10,82,0.722621571681,3.09850823136,-156.804679176,204,-106.462152073,-93.595769464,1.13092077998,-746.213249342,0.00659402335767,746.213249342,0.0,0.74974828167
-243.916987335,181.65968673757357,32.4453845604,3.01499936128e-11,83,0.724322058293,3.06285863343,-151.534670375,204,-103.505835357,-89.8249632928,1.11934867381,-978.558796428,0.00961795803779,978.558796428,0.0,0.741122122631
-208.555873278,179.99588992270782,26.5471831238,-1.18051346476e-10,84,0.766089104174,3.07951874997,-150.942537661,204,-103.902805468,-93.5480298769,1.12477333477,-922.250788543,0.00658694888727,922.250788543,0.0,0.745153383101
-240.999031303,180.92030406832524,29.0386456956,1.04676711743e-10,85,0.737403588959,3.02920951816,-149.777304653,204,-102.598240897,-92.7142122499,1.10830170039,-724.759281073,0.00645776464912,724.759281073,0.0,0.732980021829
-234.639670489,178.8300312068917,27.0400998774,-7.09788616771e-11,86,0.756471095568,3.1053860153,-151.683644377,204,-104.12809376,-96.400998144,1.13313802821,-1070.68630464,0.00811813981425,1070.68630464,0.0,0.751412504034
-216.651611888,175.95728425473996,22.5694342107,4.14370759927e-11,87,0.804416870724,3.05281634632,-147.237840186,204,-102.490813523,-104.462778783,1.11606455679,-1197.28805202,0.00807770800481,1197.28805202,0.0,0.738692183144
-259.778067803,186.1243900776416,30.1821001104,6.68180510921e-11,88,0.744016285871,3.08827257941,-157.849810902,204,-109.12913636,-99.1587529431,1.1276118988,-968.92121634,0.00718978391601,968.92121634,0.0,0.747271553553
-245.253125316,178.67275475724972,25.0445741222,-5.69366775949e-12,89,0.765958137739,3.08835187596,-150.028087971,204,-103.565958954,-96.4565562003,1.12763757514,-1215.68128387,0.00863940647332,1215.68128387,0.0,0.747290740996
-238.437666728,179.03395408086985,28.060709295,-1.35749855801e-10,90,0.752729927889,3.05865968798,-149.346470738,204,-103.296526884,-95.4855019814,1.11797680955,-750.302666046,0.00690508364138,750.302666046,0.0,0.740106100758
-257.759307938,177.3971308184724,27.4906449709,1.06905206909e-10,91,0.757468595866,3.06025399946,-148.069930278,204,-102.388223081,-96.6609074626,1.11849791888,-917.470093925,0.00658670593456,917.470093925,0.0,0.740491877461
-198.358605821,172.9909689771935,21.7688118684,7.63000773674e-11,92,0.781992894414,3.04748767141,-142.650448441,204,-98.9312532319,-93.8597068511,1.11431753689,-1167.58065642,0.00669491789668,1167.58065642,0.0,0.737402799814
-190.54609628,171.23901626772889,22.1292455658,9.80548975349e-13,93,0.793538886033,3.07313702513,-140.400545945,204,-98.4129493539,-93.3646341703,1.12269887217,-1141.10177006,0.00727936245473,1141.10177006,0.0,0.743609192518
-206.799034907,173.28266352342146,24.6538696439,2.18559614851e-11,94,0.779601774565,3.1055187806,-140.852267802,204,-98.316057144,-90.5109877912,1.13318078053,-984.003250684,0.00598853606661,984.003250684,0.0,0.75144462935
-211.6031928,169.46705695367953,22.1294721636,5.05435693299e-11,95,0.779612801899,3.06094738937,-138.085765522,204,-96.6359474824,-91.2839482426,1.11872447242,-1271.60760839,0.00667303585425,1271.60760839,0.0,0.740659657522
-195.153374296,172.72284771560425,23.583778639,-1.40509825997e-12,96,0.744488094598,3.04625092219,-138.730075414,204,-95.8634044829,-87.1199481832,1.11391162869,-1302.82208778,0.00955532066203,1302.82208778,0.0,0.73710354271
-193.778870236,174.10287613153469,21.9371464783,-6.04023497885e-11,97,0.793930342005,3.04792294523,-142.587746795,204,-98.9192278204,-91.537934725,1.11446035707,-1163.47306796,0.00734795919843,1163.47306796,0.0,0.737508123337
-200.719277771,169.56387920024102,22.17941804,-5.57047741268e-11,98,0.788768922423,3.05268346707,-138.973973712,204,-97.6239157464,-93.2193301141,1.11602102907,-1567.85841121,0.00979641895468,1567.85841121,0.0,0.738660030253
-202.291412095,171.66514389246564,22.548954818,-1.60676472127e-11,99,0.773138180831,2.98304526033,-142.266164887,204,-98.6378960134,-85.9197002178,1.09294467817,-1109.88711636,0.00688082845006,1109.88711636,0.0,0.721809622915
