AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-1071.18314686,0.0,-1147.84783253,1.7106008616,35.1485997087,34,-231.634028523,15.1728455401,-992.146615641,1.33865091691,-515.17284554,5.53228461656,0.00730364925144,45,-500.0,0.951809897381
-1099.01751696,0.0,-1199.89282777,1.73481649859,53.7144157555,34,-236.740483584,14.1474416831,-995.572213556,1.37146287947,-514.147441683,5.66788764299,0.00881288003972,46,-500.0,0.946668691598
-1079.20076206,0.0,-1206.25232057,1.74948100128,59.7714997266,34,-236.524607117,10.767042165,-967.812779511,1.39172288897,-510.767042165,5.75161681949,0.00775030212383,47,-500.0,0.935040466854
-1088.53889824,0.0,-1309.5262892,1.74657004112,83.794756851,34,-240.93668485,14.1204813224,-971.963155016,1.38767752987,-514.120481322,5.73489843713,0.00837953268536,48,-500.0,0.905102394309
-1093.67736193,0.0,-1202.64139105,1.75267463182,55.1521167571,34,-237.84402938,11.8790873654,-978.106347102,1.39617464254,-511.879087365,5.77001472105,0.00676456235764,49,-500.0,0.941681542326
-1074.85474184,0.0,-1375.88745268,1.75599830228,82.0461912982,34,-233.02244131,19.1983560185,-953.904333102,1.40082278712,-519.198356018,5.78922425389,0.00879510148864,50,-500.0,0.910988467647
-1059.08760031,0.0,-1143.85971401,1.76209012807,52.5000802516,34,-233.906277192,25.2474436842,-922.122439564,1.40938240087,-525.247443684,5.82459883801,0.00935967230121,51,-500.0,0.932693713268
-1082.24632736,0.0,-1370.73507014,1.77014529657,93.7349875857,34,-233.286554009,14.5083764788,-967.97121311,1.42078106102,-514.508376479,5.87170643822,0.00680882342029,52,-500.0,0.890435153535
-1067.0715621,0.0,-1244.14779201,1.77855410871,74.3792242467,34,-236.735956503,6.32914549508,-961.326108089,1.43277851352,-506.329145495,5.92128868635,0.0059520399798,53,-500.0,0.910500969992
-1071.38436368,0.0,-1234.80587089,1.78375304194,64.7950499039,34,-231.812141953,17.2631557189,-936.005262354,1.44024683017,-517.263155719,5.9521532327,0.00831206788521,54,-500.0,0.923593783629
-1023.21190899,0.0,-1236.37909419,1.76183481919,69.9499122545,34,-222.711179141,15.1139896075,-809.771783422,1.40902261896,-515.113989608,5.82311195603,0.00863611839887,55,-500.0,0.91246581963
-1033.6788148,0.0,-1151.61219506,1.74390063815,61.8927154865,34,-231.40356332,19.3604302541,-884.555312747,1.38397819906,-519.360430254,5.71961009668,0.00839724781902,56,-500.0,0.92653415031
-1033.15033331,0.0,-1216.86455539,1.78573990268,83.7392595712,34,-229.73961739,11.3968566152,-859.375243437,1.4431112447,-511.396856615,5.96399108844,0.006624658538,57,-500.0,0.906050827809
-1025.2583176,0.0,-1220.20267767,1.7730450175,58.3165464487,34,-227.920465042,14.1376274054,-922.352515683,1.42490690862,-514.137627405,5.88875745794,0.006127371533,58,-500.0,0.923323723687
-1011.12122739,0.0,-1140.98475316,1.77572423284,52.924302553,34,-221.845430891,18.7257813361,-929.420324415,1.42872965976,-518.725781336,5.90455586146,0.00795202168118,59,-500.0,0.927690667586
-1006.1754798,0.0,-1103.5094926,1.80471428068,51.5801989316,34,-221.856828947,17.4680924971,-900.745473363,1.47075481335,-517.468092497,6.07823453137,0.00709534521808,60,-500.0,0.93690330025
-1013.69603606,0.0,-1138.73658711,1.79713343617,59.4443285991,34,-221.466506091,17.4921210951,-889.298383714,1.45964740476,-517.492121095,6.03233059563,0.00755322201254,61,-500.0,0.932309261303
-985.37493725,0.0,-1136.24260308,1.80181450497,55.5475226442,34,-216.159723387,14.8633558594,-876.902078473,1.46649613187,-514.863355859,6.06063454487,0.00948061576195,62,-500.0,0.919031875193
-970.867514468,0.0,-1112.09902423,1.79863257651,55.9192613138,34,-206.484723253,19.638014544,-854.576109696,1.4618372621,-519.638014544,6.04138068771,0.00947254707016,63,-500.0,0.900905278836
-932.052056823,0.0,-1053.42402295,1.80614700187,59.5488848042,34,-204.346489993,17.2370019172,-796.988030187,1.47286350516,-517.237001917,6.08694918811,0.00816463457178,64,-500.0,0.895362533608
-911.019417494,0.0,-1055.64452589,1.80726353773,59.8634857081,34,-206.834816026,10.2558136129,-788.559803074,1.4745089285,-510.255813613,6.09374928075,0.00672934581793,65,-500.0,0.904371577643
-921.894796559,0.0,-1035.74880655,1.79055388375,59.6123839357,34,-205.273101121,16.4731802439,-801.212012932,1.45007510341,-516.473180244,5.9927708457,0.00658725112646,66,-500.0,0.906389128919
-908.707175058,0.0,-1024.55978726,1.79212443819,43.3700485708,34,-203.528835162,15.4497451338,-828.111574667,1.45235431465,-515.449745134,6.00219021344,0.007824463003,67,-500.0,0.909102975127
